date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2020-07-04,Chelsea,Watford,3,0,33,2.61,0.57
2020-07-05,Burnley,Sheffield Utd,1,1,33,1.23,1.53
2020-07-05,Newcastle,West Ham,2,2,33,1.39,1.90
2020-07-05,Liverpool,Aston Villa,2,0,33,1.01,0.64
2020-07-05,Southampton,Man City,1,0,33,0.59,3.17
2020-07-06,Spurs,Everton,1,0,33,0.48,0.38
2020-07-07,Crystal Palace,Chelsea,2,3,34,1.20,2.48
2020-07-07,Watford,Norwich,2,1,34,0.68,1.06
2020-07-07,Arsenal,Leicester,1,1,34,1.21,0.94
2020-07-08,Man City,Newcastle,5,0,34,3.07,0.20
2020-07-08,Sheffield Utd,Wolves,1,0,34,0.44,0.31
2020-07-08,West Ham,Burnley,0,1,34,1.87,0.98
2020-07-08,Brighton,Liverpool,1,3,34,2.21,2.45
2020-07-09,Bournemouth,Spurs,0,0,34,0.90,0.45
2020-07-09,Everton,Southampton,1,1,34,0.63,2.15
2020-07-09,Aston Villa,Man Utd,0,3,34,0.56,2.68
2020-07-11,Norwich,West Ham,0,4,35,0.57,3.56
2020-07-11,Watford,Newcastle,2,1,35,2.92,1.39
2020-07-11,Liverpool,Burnley,1,1,35,2.03,0.42
2020-07-11,Sheffield Utd,Chelsea,3,0,35,1.88,1.10
2020-07-11,Brighton,Man City,0,5,35,0.14,5.16
2020-07-12,Wolves,Everton,3,0,35,2.68,0.27
2020-07-12,Aston Villa,Crystal Palace,2,0,35,1.59,0.91
2020-07-12,Spurs,Arsenal,2,1,35,1.70,0.64
2020-07-12,Bournemouth,Leicester,4,1,35,2.38,1.55
2020-07-13,Man Utd,Southampton,2,2,35,1.41,1.69
2020-07-14,Chelsea,Norwich,1,0,36,2.85,0.06
2020-07-15,Burnley,Wolves,1,1,36,1.43,1.20
2020-07-15,Man City,Bournemouth,2,1,36,0.77,1.56
2020-07-15,Newcastle,Spurs,1,3,36,0.99,1.64
2020-07-15,Arsenal,Liverpool,2,1,36,1.23,2.08
2020-07-16,Everton,Aston Villa,1,1,36,0.88,1.42
2020-07-16,Leicester,Sheffield Utd,2,0,36,2.86,0.62
2020-07-16,Crystal Palace,Man Utd,0,2,36,0.53,1.78
2020-07-16,Southampton,Brighton,1,1,36,2.18,0.63
2020-07-17,West Ham,Watford,3,1,36,0.78,0.97
2020-07-18,Norwich,Burnley,0,2,37,0.54,1.70
2020-07-19,Bournemouth,Southampton,0,2,37,0.55,2.10
2020-07-19,Spurs,Leicester,3,0,37,0.72,1.12
2020-07-20,Brighton,Newcastle,0,0,37,0.80,0.87
2020-07-20,Sheffield Utd,Everton,0,1,37,0.44,0.58
2020-07-20,Wolves,Crystal Palace,2,0,37,1.39,0.41
2020-07-21,Watford,Man City,0,4,37,0.12,3.49
2020-07-21,Aston Villa,Arsenal,1,0,37,0.54,0.69
2020-07-22,Man Utd,West Ham,1,1,37,0.92,1.21
2020-07-22,Liverpool,Chelsea,5,3,37,1.36,2.23
2020-07-26,Arsenal,Watford,3,2,38,1.83,3.66
2020-07-26,Burnley,Brighton,1,2,38,1.35,1.28
2020-07-26,Chelsea,Wolves,2,0,38,1.08,0.15
2020-07-26,Crystal Palace,Spurs,1,1,38,0.92,0.29
2020-07-26,Everton,Bournemouth,1,3,38,1.63,1.37
2020-07-26,Leicester,Man Utd,0,2,38,0.71,1.32
2020-07-26,Man City,Norwich,5,0,38,3.33,0.74
2020-07-26,Newcastle,Liverpool,1,3,38,0.32,0.53
2020-07-26,Southampton,Sheffield Utd,3,1,38,1.54,1.32
2020-07-26,West Ham,Aston Villa,1,1,38,0.73,0.92
